IUCR,IUCR Code
031A,1
031B,2
033A,3
033B,4
041A,5
041B,6
051A,7
051B,8
1010,9
1020,10
1025,11
1030,12
1050,13
1055,14
1090,15
110,16
1110,17
1120,18
1121,19
1122,20
1130,21
1135,22
1140,23
1150,24
1151,25
1152,26
1153,27
1154,28
1155,29
1156,30
1170,31
1185,32
1195,33
1200,34
1205,35
1206,36
1210,37
1220,38
1240,39
1241,40
1242,41
1245,42
1261,43
1305,44
1310,45
1320,46
1330,47
1335,48
1340,49
1345,50
1350,51
1360,52
1365,53
1370,54
1375,55
141A,56
141B,57
141C,58
142,59
142A,60
142B,61
143A,62
143B,63
143C,64
1450,65
1460,66
1477,67
1478,68
1479,69
1480,70
1481,71
1506,72
1512,73
1513,74
1535,75
1536,76
1537,77
1540,78
1541,79
1544,80
1562,81
1563,82
1565,83
1566,84
1570,85
1576,86
1580,87
1581,88
1582,89
1585,90
1590,91
1651,92
1661,93
1710,94
1715,95
1720,96
1725,97
1750,98
1751,99
1752,100
1753,101
1754,102
1755,103
1780,104
1790,105
1791,106
1792,107
1811,108
1812,109
1821,110
1822,111
1840,112
1850,113
1900,114
2010,115
2011,116
2012,117
2013,118
2014,119
2015,120
2016,121
2017,122
2018,123
2020,124
2021,125
2022,126
2023,127
2024,128
2025,129
2026,130
2027,131
2028,132
2029,133
2031,134
2032,135
2033,136
2050,137
2090,138
2091,139
2092,140
2093,141
2160,142
2170,143
2210,144
2220,145
2230,146
2250,147
261,148
262,149
263,150
264,151
265,152
266,153
271,154
273,155
275,156
281,157
2820,158
2825,159
2826,160
2830,161
2840,162
2850,163
2851,164
2860,165
2870,166
2890,167
2895,168
2900,169
291,170
3000,171
3100,172
312,173
313,174
320,175
3200,176
325,177
326,178
330,179
3300,180
331,181
334,182
337,183
340,184
3710,185
3730,186
3731,187
3750,188
3760,189
3800,190
3960,191
3961,192
3966,193
3970,194
420,195
4210,196
4220,197
4230,198
4240,199
4255,200
430,201
4310,202
4386,203
4387,204
4388,205
4389,206
440,207
450,208
451,209
4510,210
453,211
454,212
460,213
461,214
462,215
4625,216
4650,217
4651,218
470,219
475,220
4750,221
479,222
480,223
4800,224
482,225
483,226
484,227
485,228
486,229
4860,230
487,231
488,232
489,233
495,234
496,235
497,236
498,237
5000,238
5001,239
5002,240
5003,241
5004,242
5007,243
500E,244
500N,245
5011,246
5013,247
501A,248
502P,249
502R,250
502T,251
5110,252
5111,253
5112,254
5121,255
5130,256
5131,257
5132,258
520,259
530,260
545,261
550,262
551,263
552,264
553,265
554,266
555,267
556,268
557,269
558,270
560,271
580,272
581,273
583,274
584,275
610,276
620,277
630,278
650,279
810,280
820,281
850,282
860,283
865,284
870,285
880,286
890,287
895,288
910,289
915,290
917,291
918,292
920,293
925,294
927,295
928,296
930,297
935,298
937,299
