Location Description,Location Description Count
,
ABANDONED BUILDING,1
AIRCRAFT,2
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,3
AIRPORT BUILDING NON-TERMINAL - SECURE AREA,4
AIRPORT EXTERIOR - NON-SECURE AREA,5
AIRPORT EXTERIOR - SECURE AREA,6
AIRPORT PARKING LOT,7
AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,8
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,9
AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA,10
AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA,11
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,12
AIRPORT TRANSPORTATION SYSTEM (ATS),13
AIRPORT VENDING ESTABLISHMENT,14
AIRPORT/AIRCRAFT,15
ALLEY,16
ANIMAL HOSPITAL,17
APARTMENT,18
APPLIANCE STORE,19
ATHLETIC CLUB,20
ATM (AUTOMATIC TELLER MACHINE),21
AUTO,22
AUTO / BOAT / RV DEALERSHIP,23
BANK,24
BAR OR TAVERN,25
BARBER SHOP/BEAUTY SALON,26
BARBERSHOP,27
BASEMENT,28
BOAT / WATERCRAFT,29
BOWLING ALLEY,30
BRIDGE,31
CAR WASH,32
CEMETARY,33
CHA APARTMENT,34
CHA ELEVATOR,35
CHA HALLWAY / STAIRWELL / ELEVATOR,36
CHA PARKING LOT,37
CHA PARKING LOT / GROUNDS,38
CHURCH / SYNAGOGUE / PLACE OF WORSHIP,39
CLEANING STORE,40
COIN OPERATED MACHINE,41
COLLEGE / UNIVERSITY - GROUNDS,42
COLLEGE / UNIVERSITY - RESIDENCE HALL,43
COMMERCIAL / BUSINESS OFFICE,44
CONSTRUCTION SITE,45
CONVENIENCE STORE,46
CREDIT UNION,47
"CTA ""L"" TRAIN",48
CTA BUS,49
CTA BUS STOP,50
CTA PARKING LOT / GARAGE / OTHER PROPERTY,51
CTA PLATFORM,52
CTA STATION,53
CTA TRACKS - RIGHT OF WAY,54
CTA TRAIN,55
CURRENCY EXCHANGE,56
DAY CARE CENTER,57
DEPARTMENT STORE,58
DRIVEWAY,59
DRIVEWAY - RESIDENTIAL,60
DRUG STORE,61
ELEVATOR,62
FACTORY / MANUFACTURING BUILDING,63
FEDERAL BUILDING,64
FIRE STATION,65
FOREST PRESERVE,66
GANGWAY,67
GARAGE,68
GAS STATION,69
GAS STATION DRIVE/PROP.,70
GOVERNMENT BUILDING / PROPERTY,71
GROCERY FOOD STORE,72
HALLWAY,73
HIGHWAY / EXPRESSWAY,74
HOSPITAL,75
HOSPITAL BUILDING / GROUNDS,76
HOTEL / MOTEL,77
HOUSE,78
JAIL / LOCK-UP FACILITY,79
KENNEL,80
LAKEFRONT / WATERFRONT / RIVERBANK,81
LIBRARY,82
LIQUOR STORE,83
MEDICAL / DENTAL OFFICE,84
MOTEL,85
MOVIE HOUSE / THEATER,86
NEWSSTAND,87
NURSING / RETIREMENT HOME,88
OTHER (SPECIFY),89
OTHER COMMERCIAL TRANSPORTATION,90
OTHER RAILROAD PROPERTY / TRAIN DEPOT,91
PARK PROPERTY,92
PARKING LOT,93
PARKING LOT / GARAGE (NON RESIDENTIAL),94
PAWN SHOP,95
POLICE FACILITY / VEHICLE PARKING LOT,96
POOL ROOM,97
PORCH,98
RESIDENCE,99
RESIDENCE - GARAGE,100
RESIDENCE - PORCH / HALLWAY,101
RESIDENCE - YARD (FRONT / BACK),102
RESTAURANT,103
RETAIL STORE,104
SCHOOL - PRIVATE BUILDING,105
SCHOOL - PRIVATE GROUNDS,106
SCHOOL - PUBLIC BUILDING,107
SCHOOL - PUBLIC GROUNDS,108
SIDEWALK,109
SMALL RETAIL STORE,110
SPORTS ARENA / STADIUM,111
STREET,112
TAVERN / LIQUOR STORE,113
TAXICAB,114
VACANT LOT,115
VACANT LOT / LAND,116
VEHICLE - COMMERCIAL,117
VEHICLE - COMMERCIAL: ENTERTAINMENT / PARTY BUS,118
VEHICLE - COMMERCIAL: TROLLEY BUS,119
VEHICLE - DELIVERY TRUCK,120
"VEHICLE - OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)",121
VEHICLE NON-COMMERCIAL,122
VESTIBULE,123
WAREHOUSE,124
YARD,125
